Holding_Ticker,Shares_Change,Change_Pct,Price,Price_Change_Pct,VWAP,Volume,Volume_Change_Pct,Shares_T0,Shares_T1
PLTR,526052.1400000155,0.2785%,139.11,0.83%,138.8077,32523581.66451,-2.47%,189427166.11,188901113.97
KMI,516577.0300000012,0.3358%,32.87,3.23%,32.7215,14938731.331982,47.97%,154370859.87,153854282.84
F,479121.8399999738,0.1768%,12.08,-1.31%,11.8755,80564937.852265,65.52%,271415652.08,270936530.24
ES,453815.9800000042,1.2290%,70.7,2.88%,70.4123,4893162.778662,160.33%,37378283.7,36924467.72
WBD,448521.0,0.2104%,27.05,0.00%,27.0615,13577226.010658,8.67%,213579520.05,213130999.05
KDP,444413.4699999988,0.4002%,29.4,1.62%,29.3914,10522145.128163,-31.29%,111494897.4,111050483.93
GILD,433717.0,0.4105%,130.84,1.55%,131.0604,6660241.2763,31.93%,106082365.84,105648648.84
HBAN,431275.4499999881,0.2708%,16.76,2.76%,16.6937,20760823.982379,6.89%,159696521.76,159265246.31
3576,423000.0,0.8237%,0.0,0.00%,0.0,0.0,0.00%,51779161.0,51356161.0
MDLZ,416853.39999999106,0.3738%,61.44,0.66%,61.3967,10111510.194724,-30.70%,111940876.44,111524023.04
LRCX,413490.1099999994,0.3276%,257.86,3.66%,256.0375,10381133.162657,8.30%,126617225.86,126203735.75
OR CN,405241.0,7.3975%,0.0,0.00%,0.0,0.0,0.00%,5883339.0,5478098.0
BRO,396472.5099999979,2.1865%,60.15,-2.42%,59.7592,5841208.003443,53.09%,18529343.15,18132870.64
PLUG,395929.0,0.6138%,3.13,-8.21%,3.1546,96518361.878588,-27.68%,64901357.0,64505428.0
LAC CN,392253.0,19.3270%,0.0,0.00%,0.0,0.0,0.00%,2421815.0,2029562.0
PCG,384892.25,0.2380%,16.62,1.53%,16.5787,26895975.305111,34.07%,162098947.62,161714055.37
AUTO NO,377325.0,1.4675%,0.0,0.00%,0.0,0.0,0.00%,26089536.0,25712211.0
PNR,376983.87000000104,2.9592%,80.71,-0.16%,80.6486,3737988.596963,19.10%,13116207.71,12739223.84
PTEN,376234.0,0.6965%,12.22,-1.05%,12.242,9343726.94333,24.20%,54396426.0,54020192.0
IBM,374262.87999999523,0.6667%,230.98,1.71%,229.8099,6285372.526107,-2.46%,56507052.98,56132790.1
HRL,373525.6099999994,1.0585%,21.47,2.92%,21.4248,7949013.538802,76.09%,35660445.47,35286919.86
EXC,372499.9699999988,0.3527%,45.99,-2.19%,46.4857,19253334.943947,80.93%,105996331.99,105623832.02
MU,364685.700000003,0.3631%,517.16,-0.25%,514.7385,36554468.727739,0.36%,100809572.16,100444886.46
HAL,355352.48999999464,0.4835%,42.3,1.17%,42.1152,13242820.876544,11.84%,73844370.3,73489017.81
UBER,355140.1400000006,0.3502%,74.61,0.19%,74.399,16066965.017929,36.72%,101771441.61,101416301.47
