ticker,Total_Shares,ETF_Count,Holding_ETFs
GNRC,409556.0,7,"EGLE标普 500®美国营收领先, POWR美国电力基础设施, ISCG小型股成长, XYLG标普 500备兑看涨期权及成长型, 工业XLI, IYJ美国工业, CNRG清洁能源"
INRM,409435.0,1,SCZ小型股
SNA,409275.0,7,"EGLE标普 500®美国营收领先, VLUE美国价值因子, EUSA美国等权重, XYLG标普 500备兑看涨期权及成长型, 工业XLI, IYJ美国工业, LGLV美国大盘低波动率指数"
SALFT,409000.0,1,PICK全球金属与采矿
MLPX,408638.0,1,MLPD能源基础设施备兑看涨期权
CTD,408317.0,1,SCZ小型股
HILS,407392.0,2,"PICK全球金属与采矿, SCZ小型股"
ONEW,405592.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
ELS,405233.0,4,"MDYG中型成长股, ISCG小型股成长, MDYV中型市值价值, LGLV美国大盘低波动率指数"
ARMK,404846.0,1,MDYV中型市值价值
FEVR,404620.0,1,SCZ小型股
VZLA,404553.0,2,"PICK全球金属与采矿, AUAU黄金矿业"
AXTA,404439.0,3,"ISCG小型股成长, MDYV中型市值价值, IYJ美国工业"
VIRC,404289.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
RANI,403402.0,2,"IWC微盘股, IWC微型股"
CSV,402891.0,4,"IWC微盘股, ISCG小型股成长, IWM罗素小盘股2000指数, IWC微型股"
GLPG,402348.0,2,"SCZ小型股, IBB纳斯达克生物技术"
EH,401471.0,2,"HAIL智能出行, 人工智能与机器人botz"
BRG,401447.0,1,SCZ小型股
CLFD,401324.0,6,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IGM拓展科技行业, IDGT美国数字基础设施及房地产, IWC微型股"
GRG,400108.0,1,SCZ小型股
MAQ,399569.0,2,"ARTY人工智能与科技, SCZ小型股"
VCT,397404.0,2,"SCZ小型股, SCZ小型股"
VERI,397014.0,2,"IWC微盘股, IWC微型股"
FBYD,396719.0,2,"IWN罗素 2000 价值, IWM罗素小盘股2000指数"
EP,396434.0,3,"IWC微盘股, IWM罗素小盘股2000指数, IWC微型股"
BELFB,396118.0,7,"IWC微盘股, SQLT美国小型股质量因子, IWN罗素 2000 价值, ISCG小型股成长, IWM罗素小盘股2000指数, IGM拓展科技行业, IWC微型股"
MTLN,394933.0,1,SCZ小型股
MATH,394431.0,1,区块链BKCH
SUNS,393831.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
RCEL,393509.0,3,"IWC微盘股, IWM罗素小盘股2000指数, IWC微型股"
REXR,393419.0,3,"SQLT美国小型股质量因子, ISCG小型股成长, MDYV中型市值价值"
FET,393400.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
STAG,393233.0,5,"SQLT美国小型股质量因子, MDYG中型成长股, ISCG小型股成长, MDYV中型市值价值, LGLV美国大盘低波动率指数"
FICO,393014.0,15,"EGLE标普 500®美国营收领先, 科技XLK, xsw软件, XSW软件与服务, genz 数字原生经济, TYLG信息技术类备兑看涨期权及成长型, trut科技, GXPTMSCI 信息技术, EUSA美国等权重, USMV美国最小波动率, IWP中型成长股, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, IYJ美国工业, FLAG标普 500美国市场领导者前 50 强"
CASS,391466.0,5,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, SMLV美国小型股低波动率指数, IWC微型股"
BEEP,389651.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
STVN,388234.0,2,"SMLV美国小型股低波动率指数, IBB纳斯达克生物技术"
JBSS,387095.0,8,"SQLT美国小型股质量因子, XJR标普小型股, IWN罗素 2000 价值, SPSM小型股, ESIX标普小型股, IWM罗素小盘股2000指数, SMLV美国小型股低波动率指数, IJS小型股600价值"
MASI,386262.0,6,"SQLT美国小型股质量因子, HEAL健康科技 ETF, MDYG中型成长股, ISCG小型股成长, IWP中型成长股, MDYV中型市值价值"
AFRY,386228.0,1,SCZ小型股
AALB,386011.0,1,SCZ小型股
TRU,385985.0,5,"genz 数字原生经济, MDYG中型成长股, EUSA美国等权重, MDYV中型市值价值, IYJ美国工业"
ONDS,385879.0,3,"ISCG小型股成长, HAIL智能出行, IGM拓展科技行业"
TKNO,385488.0,4,"IWC微盘股, IWM罗素小盘股2000指数, IBB纳斯达克生物技术, IWC微型股"
VSL,385202.0,2,"PICK全球金属与采矿, SCZ小型股"
ACNB,384924.0,5,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, SMLV美国小型股低波动率指数, IWC微型股"
JSL,384460.0,1,PICK全球金属与采矿
TREX,384209.0,5,"SQLT美国小型股质量因子, ISCG小型股成长, IFRA 美国基础设施, MDYV中型市值价值, IYJ美国工业"
BLSH,382667.0,3,"node链上经济, IWP中型成长股, dapp数字化转型"
PMV,381972.0,1,SCZ小型股
HODL,381766.0,2,"BCCC比特币备兑看涨期权, node链上经济"
USNA,381583.0,3,"IWN罗素 2000 价值, IWM罗素小盘股2000指数, SMLV美国小型股低波动率指数"
GPCR,381279.0,1,IBB纳斯达克生物技术
RWAY,381109.0,1,SCZ小型股
FDR,380143.0,1,SCZ小型股
NWFL,379514.0,5,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, SMLV美国小型股低波动率指数, IWC微型股"
EG,379410.0,7,"EGLE标普 500®美国营收领先, VLUE美国价值因子, truf金融, EUSA美国等权重, IWP中型成长股, XYLG标普 500备兑看涨期权及成长型, 金融XLF"
DBG,377236.0,1,SCZ小型股
DSCV,377185.0,1,SCZ小型股
BKG,376932.0,1,SCZ小型股
BWLPG,376642.0,1,SCZ小型股
MND,375721.0,1,SCZ小型股
NGVC,375665.0,4,"IWC微盘股, MILN千禧一代消费者, IWM罗素小盘股2000指数, IWC微型股"
RNAC,375625.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
ACLN,374533.0,1,SCZ小型股
CUBE,374280.0,4,"SQLT美国小型股质量因子, MDYG中型成长股, ISCG小型股成长, MDYV中型市值价值"
MERY,374117.0,1,SCZ小型股
RBA,373943.0,3,"MDYG中型成长股, IWP中型成长股, EBIZ电子商务"
FUTR,373897.0,1,SCZ小型股
EGL,373611.0,1,SCZ小型股
TRI,373581.0,4,"QYLG纳斯达克 100®备兑看涨期权及成长型, QRMI纳斯达克 100®风险管理收益, 人工智能与科技AIQ, SCZ小型股"
SPCE,373316.0,3,"IWC微盘股, ORBX 太空科技, IWC微型股"
CCB,373236.0,5,"IWC微盘股, SQLT美国小型股质量因子, ISCG小型股成长, IWM罗素小盘股2000指数, IWC微型股"
BFC,372771.0,7,"IWC微盘股, SQLT美国小型股质量因子, IWN罗素 2000 价值, ISCG小型股成长, IWM罗素小盘股2000指数, SMLV美国小型股低波动率指数, IWC微型股"
PLSV,372341.0,1,SCZ小型股
HRB,372119.0,6,"MDYG中型成长股, FLOW美国现金流之王100, ISCG小型股成长, IWP中型成长股, SMLV美国小型股低波动率指数, MDYV中型市值价值"
ATNI,371641.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
FSTR,370129.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
AREN,370010.0,3,"IWC微盘股, IWM罗素小盘股2000指数, IWC微型股"
USCB,369151.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
USAU,368991.0,3,"IWC微盘股, IWM罗素小盘股2000指数, IWC微型股"
AIZ,368394.0,5,"EGLE标普 500®美国营收领先, truf金融, XYLG标普 500备兑看涨期权及成长型, 金融XLF, IAK美国保险"
NWPX,368213.0,6,"IWC微盘股, AQWA清洁水, IWN罗素 2000 价值, IFRA 美国基础设施, IWM罗素小盘股2000指数, IWC微型股"
UBI,367942.0,1,SCZ小型股
ARGX,367926.0,2,"bbh生物科技, IBB纳斯达克生物技术"
GCO,367674.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
CVCO,367522.0,8,"SLYG小型股600成长, SQLT美国小型股质量因子, XJR标普小型股, SPSM小型股, ISCG小型股成长, ESIX标普小型股, IWM罗素小盘股2000指数, IJT标普小型股600价值"
TASE,367223.0,1,SCZ小型股
AUSS,367199.0,1,SCZ小型股
ABVX,367079.0,1,IBB纳斯达克生物技术
PFGC,367034.0,2,"IWP中型成长股, MDYV中型市值价值"
ESCA,366230.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
XPO,365913.0,3,"MDYG中型成长股, IWP中型成长股, IYJ美国工业"
DCI,365779.0,8,"evx环境服务, SQLT美国小型股质量因子, MDYG中型成长股, ISCG小型股成长, MDYV中型市值价值, IYJ美国工业, THRO美国主题轮动, LGLV美国大盘低波动率指数"
TIP,363516.0,1,SCZ小型股
BWO,363055.0,1,SCZ小型股
NONG,362579.0,1,SCZ小型股
PB,361989.0,2,"KBE银行, MDYV中型市值价值"
NNN,361533.0,4,"SQLT美国小型股质量因子, MDYG中型成长股, MDYV中型市值价值, LGLV美国大盘低波动率指数"
NRC,361027.0,4,"IWC微盘股, IWM罗素小盘股2000指数, SMLV美国小型股低波动率指数, IWC微型股"
UFPT,360426.0,8,"SLYG小型股600成长, SQLT美国小型股质量因子, XJR标普小型股, SPSM小型股, ISCG小型股成长, ESIX标普小型股, IWM罗素小盘股2000指数, IJT标普小型股600价值"
EWBC,360039.0,6,"SQLT美国小型股质量因子, KBE银行, MDYG中型成长股, ISCG小型股成长, MDYV中型市值价值, THRO美国主题轮动"
SMBC,359594.0,5,"IWC微盘股, SQLT美国小型股质量因子, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
PCTY,358650.0,5,"SQLT美国小型股质量因子, MDYG中型成长股, ISCG小型股成长, IWP中型成长股, IYJ美国工业"
GAMA,358279.0,1,SCZ小型股
DLB,357687.0,10,"xsw软件, SQLT美国小型股质量因子, XSW软件与服务, MDYG中型成长股, FLOW美国现金流之王100, IYW美国科技, ISCG小型股成长, IGM拓展科技行业, MDYV中型市值价值, LGLV美国大盘低波动率指数"
PWH,357232.0,1,SCZ小型股
NDSN,357072.0,6,"ISCG小型股成长, EUSA美国等权重, XYLG标普 500备兑看涨期权及成长型, 工业XLI, IYJ美国工业, LGLV美国大盘低波动率指数"
POLR,356512.0,1,SCZ小型股
PKOH,356459.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
VLGEA,353836.0,5,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, SMLV美国小型股低波动率指数, IWC微型股"
BPSO,353763.0,1,SCZ小型股
HUBB,353594.0,8,"EGLE标普 500®美国营收领先, POWR美国电力基础设施, EUSA美国等权重, XYLG标普 500备兑看涨期权及成长型, 美国电器化ZAP, 工业XLI, TEKX变革性科技加速器, IYJ美国工业"
LDO,352859.0,1,IDEF国防工业主动型
NGS,352728.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
KINS,352727.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
MEDP,352635.0,4,"SQLT美国小型股质量因子, MDYG中型成长股, IWP中型成长股, IBB纳斯达克生物技术"
TPW,351648.0,1,SCZ小型股
